icao24,r,t
ab31ff,N820MS,GLF4
7800c1,B-5468,B738
a37b0e,N323SJ,
88000a,HS-TAR,A306
780900,B-6426,A319
71c249,HL8249,B739
780955,B-6435,A319
3d266b,D-EMUL,C120
880016,HS-TJA,B772
4891a8,SP-ENI,B734
ab095d,N810AA,GALX
a54345,N4380Y,B350
0d0707,XA-AMA,B738
3c1a6a,D-AZAB,A321
abf47a,N87F,C120
aa8662,N7777N,GLF4
4014a5,G-ANXR,PROC
8.61e+58,JA610J,B763
600bbe,4K-SW008,B744
4014ab,G-AOBX,DH82
c00bec,C-FENJ,B737
7801bf,B-LDE,A306
7c80b5,VH-ZPJ,E190
888055,VN-A359,A321
a8e132,N671UA,B763
8a020e,PK-GMI,B738
71be18,HL7618,B744
4.03e+89,G-NOTE,P28A
4061d0,G-CGHE,FDCT
e8042f,CC-BDF,B763
4b18cf,HB-JKH,GALX
502c6a,YL-BAH,DH8D
404333,G-SIJW,BDOG
404acc,G-ZITZ,AS55
7c62c6,VH-TSO,PA31
8961bc,A6-RZJ,PRM1
7c4559,VH-NZF,
a78116,N583AJ,GLF4
a64d53,N505JH,C501
4ca362,EI-GSM,C182
a43eed,N37298,B738
780278,B-6225,A319
43c4c5,ZA713,H47
38084,TU-VAD,GLF4
a82a63,N625SC,GLEX
adc979,N988GG,GLEX
a5e679,N48CG,F900
7c6d93,VH-VXH,B738
06a13a,A7-BAX,B77W
4ac8b5,SE-REU,B737
3c1a69,D-AZAA,A321
ac45d5,N890FD,B77L
4046d9,G-KELS,RV7
43c53f,ZG885,LYNX
424150,VP-CPA,B737
3c49c3,D-ABNC,A320
3d4dc0,D-FBRS,E500
3cef8e,D-CSAG,E55P
800717,VT-IFB,A320
a9b26f,N724AG,GLF5
3c4aad,D-ABUM,B763
a58c32,N457AW,CRJ2
a523ee,N430JH,C525
a48e4a,N393DS,B738
a14f52,N1838S,FA50
80053d,VT-SCU,A319
a2a816,N270SK,E145
a695b8,N523SW,B735
a2479f,N246PS,CRJ2
ab0f86,N81102,
ab027c,N8084C,PA18
a4ce25,N409AW,CRJ2
40056,ET-APF,B738
00aecb,ZS-RSC,C130
500002,T7-BIG,SR22
8001b2,VT-AXF,B738
70c064,A4O-BA,B738
3ec55c,D-KPRW,AS25
40511c,G-EVIP,A109
40133e,G-EEWS,C210
440658,OE-GTI,C25C
402f9a,G-BROZ,PA18
a8597b,N637TW,B763
403b64,G-HOPY,RV6
a31b39,N3GC,BE9L
ae041c,164410,E6
488049,SP-ACK,A320
8a0246,PK-GFK,B738
7c47c3,VH-OGL,B763
3c1a6f,D-AZAG,A321
40681a,G-ZEBS,AT43
ab080f,N81LT,BE20
a077d9,N12921,E145
403fff,G-CAHA,PA34
758224,RP-C8189,A320
a2efb6,N289DA,SR20
a18f7d,N2YF,PC12
7c6d9a,VH-VXO,B738
86ceb0,JA803A,B788
80064a,VT-IEI,A320
7c77f4,VH-XZA,B738
3c1260,D-AVYX,A319
471839,HA-JEN,C650
4005f3,G-GDEZ,H25C
a5196c,N428AW,CRJ2
ab4bf3,N827MD,E170
acb2ad,N917WN,B737
ad0373,N938AT,B712
ad3dec,N952UW,E190
152bef,RA-76783,IL76
8a01e6,PK-CKD,B734
0d0418,XA-VTA,A320
a555d7,N443AW,CRJ2
8a0247,PK-GFL,B738
7804a0,B-5406,B738
7c6296,VH-TRC,C404
3c4b24,D-ABYD,B748
a481aa,N39NP,F900
404158,G-CORB,TRIN
4067d6,G-VGBR,A333
a47809,N38727,B737
ab0140,N808TB,
45a942,OY-JJB,J328
4b0890,HB-DGI,M20P
0d0458,XA-JCV,A320
861bf4,JA609J,B763
aaf1d0,N804MD,E170
ab0267,N8083S,C150
780706,B-8130,GLF5
a209d6,N230PS,CRJ2
a526ea,N431AW,CRJ2
c0015c,C-FANJ,C25B
ab0fc0,N8112Q,P28A
ac8626,N906HA,DH8A
7324a6,EP-IEF,A320
40676a,G-LCYR,E190
800414,VT-PPE,A321
424152,VP-CDV,CL30
ab0016,N808FD,A310
ab0252,N80826,
403335,G-JMTS,DR40
aab7c4,N79XL,C56X
a31dfb,N30LH,GLF4
a9a57d,N720VX,B734
a51d23,N429AW,CRJ2
a6a739,N528FX,CL30
79a022,B-2375,A320
ab07d3,N81JH,CH7A
a7b68b,N59630,B735
400da3,G-ODHB,R44
a617fe,N492EV,B744
ab37d6,N82161,E55P
ac8d94,N908HA,DH8A
ab0034,N808GJ,
894076,A9C-CC,A321
4caa7b,EI-RDL,E170
a66a8c,N512TF,F900
a8d3b4,N668UA,B763
3c1a71,D-AZAI,A321
888034,VN-A190,B734
403c16,G-PMNF,SPIT
798036,B-6035,A319
a26a72,N255DX,H25B
ab0ddb,N811J,BE55
a2a206,N269SK,E145
a54ab2,N440AW,CRJ2
a1985b,N2012C,GLEX
ab0470,N809MS,P28R
ab5f87,N8318F,B738
aa7718,N7734H,B737
44065f,OE-HDT,CL30
680002,A5-RGG,A319
8991b3,B-18305,A333
ae0423,59-1505,K35R
402949,G-BNRA,TOBA
a142a9,N180WJ,C180
8a01fe,PK-AXJ,A320
a29611,N266JB,E190
acbe3c,N920AT,B712
ab0fc1,N8112R,
a6503f,N506AE,CRJ7
ab02c2,N8086C,PA18
a9fb4e,N742PS,A319
a80462,N6155K,C172
acbe7a,N920DE,MD88
a55b7a,N444WN,B737
a3b09a,N337JB,E190
a13235,N17627,B735
ab0bb5,N8100A,
ab0683,N8096N,P28A
c03ead,C-FXTC,C25B
a03bcd,N114HQ,E170
ab0640,N8094R,P28B
acf8ec,N935HA,DH8A
71bd50,HL7550,A333
ab05bf,N80902,
ab08de,N81V,
ab035a,N809AP,
4caa57,EI-EVR,B738
ab0d8b,N811EV,
c00b9e,C-FEKJ,E170
ab0bd3,N81006,P32R
ab028b,N8084T,C175
89406a,A9C-BAO,A320
ab024d,N80821,
ab0ecd,N811TS,M20P
ab0fc5,N8112V,
780a35,B-KQC,B77W
ab0463,N809MD,E170
ab0883,N81RJ,BE36
ab0681,N8096L,
a06703,N125HQ,E170
a0345f,N112HQ,E170
acbf99,N920QS,C750
a71b43,N557UW,A321
ae04be,58-0106,K35R
aa4587,N761CX,B762
710388,HZ-115,C130
3c1a6c,D-AZAD,A321
ab03c6,N809EX,DH8A
ab0383,N809CE,PA31
ab0968,N810AM,
ab0be3,N8101M,
7808f0,B-6427,A319
4d00ca,LX-LGG,DH8D
861f44,JA617J,B763
ab0230,N80817,
a7e537,N608CP,
ab0d07,N8109Z,P28B
a0392f,N113UW,A320
851cec,JA349J,B738
ab0f8f,N8111A,
a4ee36,N417AW,CRJ2
a5799f,N452AW,CRJ2
a5b3b1,N467AW,CRJ2
888093,VN-A332,A321
8a01dc,PK-GMA,B738
3c49a8,D-ABMH,B738
aaad93,N7875E,C402
a34dde,N3117J,PA46
ad5697,N959FD,
8960f8,A6-EDW,A388
4064bd,G-CGTC,
4.02e+45,G-BPWI,B06
ab0293,N80841,C172
ab02e4,N8087B,PA32
8a0261,PK-LHO,B739
3c624e,D-AHRN,F900
a4ad3c,N400GE,C172
ab0298,N80846,
a445cd,N37456,B739
8638b0,JA68AN,B738
3dc4af,D-GUST,GA7
ab0fd6,N8113B,P28A
4bb47a,TC-MCZ,A332
a50f01,N425JG,C425
780a3e,B-LJI,B748
800486,VT-JBH,B738
8004fe,VT-SCP,A319
ab061b,N8093P,PA24
e48aff,PR-GUQ,B738
4787a7,LN-NGC,B738
8991b2,B-18303,A333
e48ba8,PT-MUE,B77W
4049000,G-KEMY,C182
3c1a6e,D-AZAF,A321
00b1f3,ZS-SXE,A343
403d97,G-BXDY,EUPA
4066ca,G-IIRV,RV7
4025ff,G-AKSY,AUS5
7808af,B-6548,A332
a09a04,N138MH,EC35
406801,G-HCCL,BE20
ab0c8f,N8106J,BE36
ab04c7,N809RD,
78027a,B-6227,A319
4020a6,G-IIIP,PTS1
a78143,N583CD,SR22
a3f1c2,N353UP,B763
a3a144,N333DE,M20T
a313a9,N298EU,SR22
49d2ae,OK-PCC,PC12
ab087c,N81RB,
a36af7,N31920,P32R
a394c9,N33PP,B06
a74d27,N57MD,AS65
896219,A6-EGX,B77W
a8a6ff,N657CT,CL60
3d3e72,D-EVXA,IMPX
4057000,G-LEXY,RV8
4038d9,G-KONG,RF6
4caa7c,EI-RDM,E170
4055ec,G-CRWZ,CRUZ
ab07d1,N81JF,
3c5453,D-AEBS,E190
a0d93e,N154CA,PA31
402bd2,G-BWEF,SV4
ab0a71,N810MB,COL4
ab023d,N8082K,P28A
44066b,OE-LEL,A320
ab065b,N8095H,P28B
72862b,YI-AQK,B737
35081,D6-CAS,A320
ab0ce2,N8108X,C172
885042,HS-TBB,A333
ab09dd,N810FD,A310
8a0300,PK-GLH,A320
7cf8ed,A32-671,B350
a7beea,N599AV,A320
43e950,M-AAAL,GLEX
3c5823,D-AFAC,CL60
501de7,9A-JSB,C525
70c0b9,A4O-EC,E170
aa9ead,N78345,AC50
40674a,G-JOID,SR20
424292,VP-BAI,B762
ab0690,N80961,C172
ab0fd0,N81126,
aacad4,N795CK,B742
a9d605,N73283,B738
ab0d32,N811BF,
ab06ab,N8097T,C175
8a0290,PK-GFS,B738
780890,B-8207,FA7X
ae0238,58-0074,K35R
adfe61,90-1798,C130
440068,OE-LGD,DH8D
4015c8,G-ASJV,SPIT
adfe72,92-1535,C130
473800,HA-VOC,D28T
ab06a2,N8097J,P28A
8a01f8,PK-LGP,B739
3e1cfc,D-ICEE,C525
8a0244,PK-GFJ,B738
aa83d0,N777J,CL60
71024d,HZ-103S,B739
a841d2,N631DV,GALX
ab1bb9,N8148S,B350
ab0c7c,N81050,C140
508285,UR-USB,PRM1
ab0cf4,N8109E,
ab0c32,N8103W,P28A
ab04ec,N809SR,SR22
ab009a,N808LL,R44
a0a0d9,N14FE,GLEX
4caa59,EI-EVT,B738
8004fd,VT-SCO,A319
71be10,HL7610,B748
86d68a,JA828J,B788
ab0afc,N810SR,
ab0fee,N81131,
7c4558,VH-NZE,
484fd0,PH-AQC,F100
300025,I-DANQ,MD82
4062d1,G-KUIP,CRUZ
3a3222,F-OMRC,A320
4018b3,G-AYIG,P28A
3c1262,D-AVYZ,A319
ab0953,N81ZS,
780432,B-5358,B738
4067b5,G-NYGB,CL60
c04859,C-GBKI,B738
3e393e,D-IMWK,SW3
a6d771,N54VC,
a23696,N24136,BE36
a71efa,N558UW,A321
a324b9,N301TG,E55P
a6d241,N539EA,CRJ7
aa64ca,N769US,A319
ab0bf8,N81018,
a9b088,N723UW,A319
ab1644,N813UA,A319
abd063,N860RW,E170
c05f8a,C-GKER,CRJ2
a252c4,N249PS,CRJ2
aa15cc,N749US,A319
a30239,N293SK,E145
ab3a0c,N822UA,A319
89621a,A6-EGY,B77W
a6c667,N53571,C172
a4df5a,N413AW,CRJ2
ab11e1,N812MD,E170
a1f824,N226JS,CRJ2
a27256,N257JQ,E145
ac34a0,N886FD,B77L
acba74,N9190B,AT3P
a2daba,N283SK,E145
4787b3,LN-NGD,B738
a69974,N524TA,A319
403a06,G-BVXD,BALL
e8043e,CC-BFA,A320
3c1a70,D-AZAH,A321
4067cd,G-WPDC,EC35
ab0bb8,N8100D,
a273f5,N25705,B737
aa718a,N772MB,BE36
a95132,N7PS,CL60
4241cd,VP-CSW,FA7X
ae0326,74-1664,C130
89407a,A9C-CD,A321
71010b,HZ-124,A342
acd68a,N926XJ,CRJ9
ab05b9,N8090W,P28A
76cd74,9V-SKT,A388
add2b5,N990AT,B712
ab0fc2,N8112S,
4067d1,G-RNER,C510
a997e5,N717UW,A319
ab0a6f,N810M,H500
ad545b,N958WH,E170
aa4e80,N763US,A319
a4d435,N410AW,CRJ2
ab0c8e,N8106H,P28T
ab0bc1,N8100N,P28A
a5b768,N468AW,CRJ2
acfc49,N936DL,MD88
a04e60,N119HQ,E170
a08714,N133HQ,E170
ad6b14,N964AT,B712
a01bbc,N106HQ,E170
a6652b,N511AE,CRJ7
a976d1,N709JM,B737
80057a,VT-SCX,A319
396668,F-GZTI,B734
aa5237,N764US,A319
e4896a,2592,E190
3c542e,D-AEAN,A306
403b38,G-BWIJ,EUPA
a99d81,N719AE,E135
a2d27c,N281JB,E190
a29a98,N267SK,E145
ab0fa4,N8111X,C172
ad6b5a,N964DN,
a4b7db,N403AW,CRJ2
40640f,G-CGRB,FDCT
34425a,EC-LPP,C501
a33d4c,N308CR,CL60
405099,G-JBTR,RV8
80044d,VT-AYC,B738
3d3ed0,D-EWAQ,DA40
c04e2a,C-GDPP,
40660f,G-CGZI,TRIN
aca220,N913DE,MD88
88000c,HS-TEA,A333
4046b5,G-HTEL,R44
ab0f98,N8111K,
a2cf95,N280SK,E145
8850b0,HS-TEP,A333
406824,G-DAGS,C25A
a26b8a,N255RB,H25B
a0675c,N125MD,C206
ab3d17,N823MD,E170
a9819b,N711UW,A319
a8df4b,N6709,B752
ac3c6a,N888JW,P210
ad672f,N9629H,MD83
ab05d6,N8091Q,C402
c00b98,C-FEKD,E170
a11f5d,N17108,E145
ab05f7,N8092N,P28A
a35de5,N316JB,E190
7100ad,HZ-ASG,A320
ab075f,N81DS,DA40
ab0799,N81G,
a98909,N713UW,A319
ab6ea9,N836AE,E135
a0232a,N108HQ,E170
a0433b,N116HQ,E170
ab3960,N822MD,E170
ab0659,N8095F,BE36
680001,A5-RGF,A319
42428d,VP-BDC,A321
7808ac,B-2032,B77W
a8bd53,N662TC,PA46
440250,OE-FLP,C25A
ab2830,N818MJ,PA23
ad6415,N962FD,B752
405149,G-CSPR,RV6
40148c,G-ANFM,DH82
a4e108,N413UA,A320
a39e7e,N332NW,A320
a2ab89,N271PS,GLF4
4843df,PH-OTH,PA31
76cec3,9V-SVC,B772
a37b48,N323US,A320
ab02f9,N8087Y,PA30
ad7da2,N969AN,B738
a4f1ed,N418AW,CRJ2
ac820b,N905DA,MD90
4059df,G-CJGM,
a3bef2,N340SV,C340
80044b,VT-AYA,B738
7801bc,B-LDB,A306
a8d76b,N669UA,B763
a981c4,N711WM,CRJ2
a18e84,N2NG,
a584c4,N455AW,CRJ2
a506d9,N423AW,CRJ2
ad905e,N973SD,SR22
a8fd3c,N679AW,A320
c05f85,C-GKEM,CRJ2
ab2020,N816EX,DH8A
4034a2,G-BTRS,P28A
4b868f,TC-ATO,A321
a267b0,N254PS,CRJ2
ab0a30,N810JM,
478777,LN-KYV,B350
ab02ce,N8086Q,PA34
ad4efe,N957DL,MD88
ab0158,N808UA,A319
a18de7,N2G,GALX
aa0e62,N747UW,A319
ab2f99,N82MD,
ab2be2,N819MD,E170
a6f3b0,N547UA,B752
a5b55f,N467UA,A320
a5686a,N448AW,CRJ2
a26f1e,N256PS,CRJ2
a013d8,N104CX,BE20
ad7deb,N969DL,MD88
ab0682,N8096M,C310
a8eaa1,N674AN,B752
80052c,VT-SCS,A319
7c7ee0,VH-ZCI,BE20
484c73,PH-PST,E50P
aafeaa,N8073L,
ad3c25,N952AR,MD11
440665,OE-LBI,A320
800521,VT-SCR,A319
7c6257,VH-TPL,P28A
8a02e3,PK-LJL,B739
4d02b5,LX-JFA,TBM7
3c1a72,D-AZAJ,A320
a4d2ca,N41LJ,C421
45cdda,OY-SNZ,FA7X
abb593,N8535Q,C206
3b772e,90,E121
7c4414,VH-NQE,F100
ae1256,166512,C30J
a7c573,N60FR,
ab0684,N8096P,PA24
ab0310,N8088L,C172
ab0bd9,N8101B,C172
ab5f6a,N8317M,B738
a7ad0d,N594JB,A320
8003f0,VT-AXQ,B738
ab0802,N81LE,LGEZ
ab0658,N8095E,
ab015d,N808UF,C172
ab081e,N81MH,P28A
45c267,OY-PSG,B737
80064e,VT-IEM,A320
43c2ce,XZ726,LYNX
4241da,VP-CAJ,A319
a8b23b,N66DR,BE35
3442da,EC-LTC,B734
71c265,HL8265,A321
ab0fce,N81124,
a9553a,N700GX,GLEX
71c259,HL8259,A333
ab0225,N8081W,
ab075a,N81DM,M20T
7c7ab0,VH-YIQ,B738
75002e,9M-MPD,B744
a66850,N5116,GLF4
ac701d,N900KR,F900
398a64,F-HCTE,DA42
e48b50,PR-TKL,AT76
404865,G-PBYA,CAT
406723,G-LBAC,EV97
4d0106,LX-VCF,B748
3b7725,103,E121
a4d577,N410PT,BE20
4b3943,HB-VRV,E50P
78001d,B-6259,A320
3cc23d,D-CAWB,C680
ab071f,N81BC,PA23
a84255,N631KA,FA10
ab0c6a,N8105G,C210
adbf6a,N985TK,B739
e48ce3,PT-TOH,E55P
ab012c,N808SG,
ab0da9,N811G,
a97c63,N710DL,CL30
8990c8,B-16307,A332
a1078a,N16566,P28R
a903af,N680EV,C680
a00034,N1C,F2TH
480c05,G-781,C130
e4009e,2472,C130
3cd07a,D-CGGG,LJ31
ab0f81,N8110X,
a20dd0,N231SJ,M20T
a173de,N193FS,BE30
aa9cc0,N783MB,GLF5
ab04ed,N809SS,EC30
a08edf,N135MH,EC35
7c6049,VH-TAZ,C441
39a961,F-HKLB,F2TH
43e942,M-ABFM,FA7X
4045a2,G-OPRC,EUPA
ab02be,N80859,C172
3d9ba6,D-GFES,DA42
4b10f6,HB-GLA,BE20
aada90,N799MJ,C680
a7b4c7,N596MC,LJ60
404c4d,G-CDAI,DR40
403012,G-MKXI,SPIT
ab02b1,N8085W,P28A
ade7ca,N99510,C172
402236,G-LFIX,SPIT
a649e0,N504MA,C172
ab06c3,N8098G,C188
3d059c,D-EAJK,M20T
a4d8ee,N411MD,PA46
a898a7,N653J,
ac5777,N89464,C172
ab032c,N8089D,
ab5faa,N8319F,B738
abd520,N8611Y,PA30
44a077,OO-HCW,AS50
ac741c,N901NN,B738
800142,VT-SFL,BE9L
ab0a8c,N810ND,P28R
3b7783,R218,C160
c01fed,C-FMCI,C550
a16646,N19ER,C550
ab0b41,N810VK,
ab07a9,N81GR,
ab068c,N8096X,
406807,G-EYUP,C56X
a9277e,N6893Y,AEST
a10d2a,N167RD,CL30
43e90e,M-ABES,B735
43e938,M-DWSF,B430
ae07eb,96-0001,C17
42427f,VP-BER,CRJ2
861e9a,JA612J,B763
ac608e,N897NN,B738
a828d3,N625AC,C560
a87afa,N6456B,C172
03e00a,TR-KPR,B772
800413,VT-SCK,A319
4067a2,G-DHLH,B763
8a02ac,PK-GLC,A320
c07fe7,C-GWLI,CL60
491293,CS-DTS,FA7X
40165a,G-ATKT,C172
ab0c42,N8104B,C172
7807bd,B-6535,A332
a57307,N450KK,GLF4
8a01cc,PK-LGK,B739
7502ad,9M-AQN,A320
a7e0a3,N6065U,C182
ab0a5b,N810LE,
344307,EC-LSQ,AT76
43c4ba,ZA718,H47
ab027a,N8084A,
ab02cc,N8086N,P28B
ab078c,N81FM,M20P
4b866c,TC-ASL,CL60
ab6229,N8320J,B738
8005ee,VT-AND,B788
a002bc,N10DX,
451d88,LZ-BHH,A320
8a026a,PK-LHQ,B739
e48ba7,PT-MUF,B77W
84b3de,JA202A,A320
3d796c,D-FSFS,PA46
403ff6,G-OJGT,M5
ad0be6,N94MD,
451d8f,LZ-EVB,PRM1
4845b6,PH-RVS,P68
3c1215,D-AVWA,A319
a09229,N136GZ,
4012af,G-RODD,C310
a8f972,N678AB,C510
780461,B-5375,B738
48b68c,SP-NWM,PC12
ab0325,N80887,
ab0d51,N811CM,
4caa58,EI-EVS,B738
a27920,N259CA,B752
40060,ET-APS,B77L
a9a28c,N72PV,BE36
ab0fdb,N8113G,H269
ab0ece,N811TT,H269
ab0bdb,N8101D,PA44
e14c32,T-02,F28
ab0cb9,N8107R,PA34
3c49a9,D-ABMI,B738
4b11de,HB-GTY,B350
ab0cc5,N81073,C140
e80431,CC-BDG,B763
402ee7,G-OOMA,P28A
add003,N9898,BE20
392510,F-GJIQ,ALO3
a69848,N524FA,C402
405a21,G-OTJS,R44
43c612,ZJ990,EH10
ae032a,74-1684,C130
a4c6cf,N407BV,A320
44066d,OE-IPD,CL60
c06084,C-GKOH,GLEX
7608f2,AP-BGR,A310
406809,G-ZDEA,DA42
51006c,EW-340PO,E170
780917,B-3210,E190
aa839c,N777FY,P210
406818,G-CHMR,E145
3c6449,D-AIBI,A319
402f24,G-BRGI,P28A
ae01d9,62-4133,C135
4bab26,TC-JYF,B739
406840,G-IONX,FA7X
0d014e,XA-GNI,F2TH
ae05f0,65-0982,C130
4bab27,TC-JYG,B739
aa830c,N777AD,C175
800544,VT-SCW,A319
aa4ce0,N763CA,B752
a728c1,N560UW,A321
403f2d,G-GHZJ,TAMP
404816,G-TAGR,EUPA
40488f,G-CBYH,AP22
4063c1,G-CGNT,RJ1H
4021ba,G-ERRY,AA5
406487,G-CGUY,CDUS
a002b0,N10DK,PA46
ac77d3,N902NN,B738
e48c05,PR-GUT,B738
ab0fe0,N8113M,C310
0d04b9,XA-ABC,A320
ab2735,N818BH,F2TH
502c69,YL-BAF,DH8D
48433d,P4-PIF,GL5T
4d022e,LX-GXX,GLEX
424569,VQ-BPK,A333
a5730d,N450KR,GLF4
adf413,N999AA,GLF4
ae127b,73-1581,C130
a4acdd,N400CK,GLF4
a941c0,N696HS,CL60
3cf476,D-CTWO,LJ35
4067d3,G-LBAL,A139
ad81d0,N97FG,F2TH
4caa5a,EI-EVV,B738
ae035c,58-0062,K35R
4046b4,G-IVJM,A109
4065a6,G-GRZD,GLF5
4d022c,LX-USM,FA7X
a257dd,N250DV,GLF5
ae4d6a,10-0217,C17
400b0d,G-BTZO,TRIN
800600,VT-VDM,HA4T
406756,G-EZWE,A320
a2e9bb,N287TX,GLF4
800661,VT-SNP,GALX
406839,G-JEBS,C172
aa2e14,N755RA,GL5T
484494,P4-BBJ,B737
a19324,N200MP,GALX
406811,G-FBJH,E170
aa804c,N776LA,B77L
3e37c4,D-IMHW,C340
3cdd5f,D-CLDF,C650
0d8167,YV2726,F900
a417d6,N363EA,BE20
01008b,SU-BKT,C130
43c619,ZZ501,B350
40048,ET-AOR,B788
3c644a,D-AIBJ,A319
43c618,ZZ500,B350
ac5f6a,N897AW,GLF5
a1d405,N217FE,B722
43c45f,XX332,HAWK
4d00cb,LX-LGH,DH8D
43e95b,M-AYRU,CL60
a8f00e,N675UA,B763
401f84,G-BJAJ,AA5
40680e,G-CHJK,C206
a713ad,N555TF,GLF4
402a8e,G-BOFW,C150
405108,G-RRVX,RV10
e48bf5,PP-WAV,H25B
a8f3c5,N676UA,B763
c0706f,C-GQPA,CL60
3b7788,R96,C160
a00d68,N102PA,E50P
43c5f3,QQ101,RJ1H
8005f2,VT-ANI,B788
45b0e9,OY-LGI,GLEX
44063c,OE-IRN,GLEX
a1f3a4,N225AR,CL30
8960f9,A6-EDX,A388
4ba892,TC-JDR,A332
45caa4,OY-RUD,AT72
403d46,G-TOSH,R22
3442cd,EC-LTO,B733
a2d977,N283DM,CL60
402939,G-BNRG,P28A
71010000,HZ-WBT5,H25B
43e891,M-RUAT,GLEX
89621b,A6-EGZ,B77W
406819,G-OTEN,C750
39650000,F-GZPE,P180
a81761,N620MS,F2TH
ae128a,69-5822,C130
a829a2,N625JK,GLF5
abb573,N8534T,C182
a397d3,N330WR,GLF3
a2d1f5,N281CS,B733
0a401a,7T-WHE,C130
402b24,G-DONS,P28T
44066a,OE-GMG,C650
ae0551,70-0460,C5
ae1287,69-5820,C130
ac4554,N890A,GLF5
402356,G-ZAZA,PA11
780311,B-8028,FA7X
404973,G-KAOS,RV7
4787b2,LN-NGE,B738
800600000,VT-KJB,GL5T
ad540a,N958TB,GLF4
491263,CS-DSC,FA7X
401633,G-ATEF,C150
406758,G-EZWG,A320
506c92,S5-ABV,B734
43e958,M-USBA,GLF5
405b51,G-DDUT,GLID
ae0949,68-10329,U2
a0f1b7,N160AJ,LJ60
ae0483,60-0339,K35R
ae03d3,164442,C130
4b0ef1,HB-FRD,PC12
400a3c,G-EMAX,PA31
406832,G-VWAG,A333
0c603d,9Y-LHR,B763
4d0202,LX-DGQ,C25A
39b1f1,F-HMPR,C25A
a6b818,N532CL,A320
400ce2,G-SELC,DA42
a257ba,N250CK,SR22
a66e2e,N513SK,C56X
3cd6e3,D-CIRJ,D328
510069,EW-338TI,AN12
383d02,F-BPIC,PA30
342519,EC-JYV,CRJ9
a66036,N51MN,F2TH
e80204,CC-BFD,A320
43c537,ZE375,LYNX
44be67,OO-OSG,GALX
43e959,M-CKDM,G150
0200fa,CN-SSH,E135
4d2075,9H-LDV,CL60
43e961,M-SITM,H25B
ae0967,80-1093,U2
80050,VT-IBP,CRJ2
4caa7e,EI-EYH,A320
800590,VT-APL,CL60
a18e6b,N2MG,CL60
008ad6,ZS-ECB,E135
503d15,LY-LTD,H25B
c05c13,C-GIWO,LJ35
780a50,B-HHI,GLF5
750018,9M-MMI,B734
4b0f64,HB-FVO,PC12
40049,ET-AOS,B788
3e1d10,D-ICEY,C525
4bb741,TC-MZA,GLF4
ab3a52,N822WW,F900
a373fb,N321W,SR20
4b1a35,HB-JYB,A319
ae022a,86-0032,DC10
c077f8,C-GTLF,CRJ1
ac8db1,N908JE,B721
400f42,G-PDGK,AS65
38469a,F-WWZR,FA7X
a6af20,N53LT,GLF5
0d07aa,XA-KUO,GLF5
8960fb,A6-EDZ,A388
40169c,G-ATVK,P28A
adacba,N980SF,F900
a7082a,N552PM,GLF5
406625,G-YRON,MM16
e48693,PR-JPP,GALX
40495c,G-ONIG,RBEL
a80703,N616WG,H25B
a513a4,N426TT,GLF4
e48a5b,PT-TLS,E190
a62de2,N498AT,AT75
484f74,PH-LND,F100
440651,OE-IRL,F900
33ffb4,MM62223,C27J
395588,F-GVMI,GLEX
ac8d17,N908CA,F900
4046bc,G-OTFL,EC20
3f7b3c,14+04,GL5T
43c372,ZJ946,EUFI
404c8d,G-EZUB,CH60
c027d5,C-FPCE,C510
403faa,G-OACA,PA44
49d2a8,OK-ESC,BE40
ada024,N9771C,CL60
ae05fe,79-0477,C130
4bd16e,TC-TKN,C680
3cbc49,D-BOBI,F2TH
404987,G-IIXI,E300
42429a,VP-BDD,A333
43e968,M-IGWT,GL5T
ab28f1,N818VB,GLF3
4caa9b,EI-EJP,A332
402057,G-MANN,GAZL
406814,G-VGEM,A333
aa0d54,N747JA,BE9L
4b1886,HB-JHM,A333
abe868,N86664,
c01e50,C-FLML,BE58
478117,5699,C30J
40133d,G-ECAC,R200
ad17a0,N9425C,C180
3986ea,F-HBXK,E170
40062,ET-APU,B77L
400fbc,G-VVTV,DA42
a8e8a0,N673UA,B763
440644,OE-IRA,GLEX
aa87ba,N778LA,B77L
4787ac,LN-IDC,C560
43c72b,ZJ250,AS50
40621a,G-CGGW,MT
4062000000000,G-CGKY,C182
a8b8db,N661KK,P28A
43c55f,ZK028,HAWK
ac7acb,N903EX,F900
3d7ba2,D-FTBM,TBM7
aa8bbe,N779PC,PC12
896303,A6-ENA,B77W
440641,OE-GUN,C56X
aba83d,N850KD,TBM8
4d2077,9H-OKI,GLEX
342607,EC-GFK,SW4
a728ac,N560U,GL5T
7102d5,1604,C130
406757,G-EZWF,A320
40320a,G-VFAS,P28R
405b41,G-CFMM,C172
a385a9,N326LW,F2TH
400b53,G-CCTB,RJ1H
3c4b26,D-ABYF,B748
ac3857,N887FD,B77L
424299,VP-BHW,A320
4bab28,TC-JYH,B739
8960fa,A6-EDY,A388
aaa6d3,N786AC,C25A
40686b,G-DEIA,C56X
a57253,N450CE,GLF4
a7bf85,N599H,GLF5
4787b1,LN-NGF,B738
394b12,F-GSYS,PA34
44ce61,OO-SSA,A319
c06de2,C-GPPX,GLEX
40683e,G-VUFO,A333
4bab29,TC-JYI,B739
a0e262,N156VP,C750
750290,9M-MNC,A388
394d2c,F-GTJM,TBM7
4067ed,G-GLBX,GLEX
400ae9,G-BNVE,P28A
a379e0,N323EG,F2TH
a4933a,N394SE,PA46
40229c,G-PAXX,PA20
